Density,Travel Time,Frequency
0.7000000000000001,61,45
0.7000000000000001,62,45
0.7000000000000001,63,61
0.7000000000000001,64,41
0.7000000000000001,65,37
0.7000000000000001,66,34
0.7000000000000001,67,41
0.7000000000000001,68,44
0.7000000000000001,69,43
0.7000000000000001,70,40
0.7000000000000001,71,64
0.7000000000000001,72,35
0.7000000000000001,73,34
0.7000000000000001,74,46
0.7000000000000001,75,52
0.7000000000000001,76,37
0.7000000000000001,77,36
0.7000000000000001,78,25
0.7000000000000001,79,28
0.7000000000000001,80,35
0.7000000000000001,81,34
0.7000000000000001,82,35
0.7000000000000001,83,33
0.7000000000000001,84,35
0.7000000000000001,85,32
0.7000000000000001,86,25
0.7000000000000001,87,22
0.7000000000000001,88,24
0.7000000000000001,89,19
0.7000000000000001,90,9
0.7000000000000001,91,21
0.7000000000000001,92,14
0.7000000000000001,93,7
0.7000000000000001,94,6
0.7000000000000001,95,7
0.7000000000000001,96,4
0.7000000000000001,97,2
0.7000000000000001,99,1
0.8,0,436
0.8,1,38
0.8,2,43
0.8,3,54
0.8,4,51
0.8,5,47
0.8,6,54
0.8,7,33
0.8,8,49
0.8,9,50
0.8,10,44
0.8,11,35
0.8,12,46
0.8,13,46
0.8,14,45
0.8,15,54
0.8,16,56
0.8,17,63
0.8,18,54
0.8,19,58
0.8,20,50
0.8,21,49
0.8,22,50
0.8,23,47
0.8,24,44
0.8,25,48
0.8,26,59
0.8,27,58
0.8,28,63
0.8,29,59
0.8,30,51
0.8,31,38
0.8,32,53
0.8,33,47
0.8,34,57
0.8,35,52
0.8,36,58
0.8,37,46
0.8,38,61
0.8,39,39
0.8,40,42
0.8,41,56
0.8,42,60
0.8,43,63
0.8,44,44
0.8,45,57
0.8,46,54
0.8,47,50
0.8,48,46
0.8,49,48
0.8,50,52
0.8,51,55
0.8,52,46
0.8,53,54
0.8,54,35
0.8,55,45
0.8,56,50
0.8,57,53
0.8,58,47
0.8,59,56
0.8,60,41
0.8,61,45
0.8,62,48
0.8,63,38
0.8,64,45
0.8,65,64
0.8,66,44
0.8,67,48
0.8,68,43
0.8,69,36
0.8,70,33
0.8,71,45
0.8,72,35
0.8,73,34
0.8,74,43
0.8,75,37
0.8,76,46
0.8,77,36
0.8,78,41
0.8,79,32
0.8,80,36
0.8,81,25
0.8,82,33
0.8,83,32
0.8,84,28
0.8,85,23
0.8,86,19
0.8,87,17
0.8,88,32
0.8,89,11
0.8,90,16
0.8,91,16
0.8,92,10
0.8,93,6
0.8,94,3
0.8,95,5
0.8,96,1
0.8,97,2
0.8,98,2
0.8,99,1
0.9,0,443
0.9,1,35
0.9,2,33
0.9,3,37
0.9,4,47
0.9,5,36
0.9,6,59
0.9,7,48
0.9,8,50
0.9,9,52
0.9,10,43
0.9,11,48
0.9,12,53
0.9,13,52
0.9,14,52
0.9,15,39
0.9,16,47
0.9,17,60
0.9,18,50
0.9,19,50
0.9,20,52
0.9,21,54
0.9,22,48
0.9,23,53
0.9,24,60
0.9,25,60
0.9,26,46
0.9,27,58
0.9,28,45
0.9,29,46
0.9,30,49
0.9,31,53
0.9,32,71
0.9,33,48
0.9,34,43
