Timestep,Road_number,Vehicle_density,Vehicles_Exiting
130,4,7.8,3
130,5,0.92,0
130,6,0.9,0
130,7,0.84,0
131,1,0.64,1
131,2,0.56,0
131,3,0.66,2
131,4,7.8,0
131,5,0.94,0
131,6,0.92,0
131,7,0.86,0
132,1,0.64,0
132,2,0.56,1
132,3,0.68,1
132,4,8.4,0
132,5,0.94,0
132,6,0.92,0
132,7,0.86,0
133,1,0.64,1
133,2,0.56,1
133,3,0.68,1
133,4,8.8,1
133,5,0.94,0
133,6,0.92,0
133,7,0.86,0
134,1,0.64,4
134,2,0.56,0
134,3,0.7,0
134,4,8.6,1
134,5,0.94,0
134,6,0.92,0
134,7,0.88,0
135,1,0.64,2
135,2,0.58,3
135,3,0.7,2
135,4,8.6,1
135,5,0.96,0
135,6,0.92,0
135,7,0.88,0
136,1,0.64,1
136,2,0.6,3
136,3,0.7,1
136,4,9.0,0
136,5,0.96,0
136,6,0.94,0
136,7,0.88,0
137,1,0.64,1
137,2,0.6,0
137,3,0.7,2
137,4,10.0,0
137,5,0.96,0
137,6,0.94,0
137,7,0.88,0
138,1,0.64,0
138,2,0.6,1
138,3,0.7,1
138,4,10.6,2
138,5,0.96,0
138,6,0.94,0
138,7,0.88,0
139,1,0.66,0
139,2,0.6,1
139,3,0.7,2
139,4,9.2,0
139,5,0.96,0
139,6,0.96,0
139,7,0.9,0
140,1,0.66,1
140,2,0.62,0
140,3,0.7,2
140,4,9.8,0
140,5,0.96,0
140,6,0.96,0
140,7,0.9,0
141,1,0.66,2
141,2,0.62,0
141,3,0.7,3
141,4,10.4,0
141,5,0.96,0
141,6,0.96,0
141,7,0.9,0
142,1,0.66,1
142,2,0.62,1
142,3,0.72,2
142,4,11.4,3
142,5,0.96,0
142,6,0.96,0
142,7,0.9,0
143,1,0.68,0
143,2,0.62,0
143,3,0.72,3
143,4,9.0,0
143,5,0.98,0
143,6,0.98,0
143,7,0.92,0
144,1,0.68,1
144,2,0.64,3
144,3,0.72,0
144,4,9.6,2
144,5,0.98,0
144,6,0.98,0
144,7,0.92,0
145,1,0.68,1
145,2,0.64,1
145,3,0.72,0
145,4,8.6,1
145,5,1.0,0
145,6,0.98,0
145,7,0.94,0
146,1,0.68,1
146,2,0.64,1
146,3,0.72,0
146,4,8.2,0
146,5,1.0,0
146,6,0.98,0
146,7,0.96,0
147,1,0.68,2
147,2,0.64,1
147,3,0.72,1
147,4,8.6,1
147,5,1.0,0
147,6,0.98,0
147,7,0.96,0
148,1,0.68,1
148,2,0.64,2
148,3,0.72,0
148,4,8.0,1
148,5,1.02,0
148,6,0.98,0
148,7,0.96,0
149,1,0.68,1
149,2,0.64,1
149,3,0.72,0
149,4,8.2,0
149,5,1.02,0
149,6,1.0,0
149,7,0.96,0
150,1,0.68,1
150,2,0.64,2
150,3,0.72,0
150,4,8.6,0
150,5,1.02,0
150,6,1.0,0
150,7,0.96,0
151,1,0.68,2
151,2,0.64,3
151,3,0.72,2
151,4,9.2,2
151,5,1.02,0
151,6,1.0,0
151,7,0.96,0
152,1,0.7,1
152,2,0.64,1
152,3,0.74,1
152,4,9.6,0
152,5,1.04,0
152,6,1.02,0
152,7,0.96,0
153,1,0.7,1
153,2,0.66,0
153,3,0.74,2
153,4,10.2,1
153,5,1.04,0
153,6,1.02,0
153,7,0.96,0
154,1,0.7,1
154,2,0.66,1
154,3,0.74,2
154,4,9.8,0
154,5,1.04,0
154,6,1.02,0
154,7,0.98,0
155,1,0.7,1
155,2,0.66,2
155,3,0.74,3
155,4,10.6,2
155,5,1.04,0
155,6,1.02,0
155,7,0.98,0
156,1,0.7,2
156,2,0.66,1
156,3,0.74,1
156,4,10.0,1
156,5,1.06,0
156,6,1.04,0
156,7,0.98,0
157,1,0.7,1
157,2,0.66,1
157,3,0.76,0
157,4,9.4,0
157,5,1.08,0
157,6,1.04,0
157,7,0.98,0
158,1,0.72,0
158,2,0.66,0
158,3,0.76,3
158,4,9.8,2
158,5,1.08,0
158,6,1.04,0
158,7,0.98,0
159,1,0.72,0
159,2,0.68,2
159,3,0.76,2
159,4,8.6,0
159,5,1.1,0
159,6,1.04,0
159,7,1.0,0
160,1,0.72,1
160,2,0.68,1
160,3,0.76,2
160,4,9.4,2
160,5,1.1,0
160,6,1.04,0
160,7,1.0,0
161,1,0.72,1
161,2,0.68,4
161,3,0.78,0
161,4,8.4,0
161,5,1.12,0
161,6,1.04,0
161,7,1.02,0
162,1,0.72,1
162,2,0.68,1
162,3,0.78,1
162,4,9.4,0
162,5,1.12,0
162,6,1.04,0
162,7,1.02,0
163,1,0.72,0
163,2,0.7,0
163,3,0.78,4
163,4,10.0,1
163,5,1.12,0
163,6,1.04,0
163,7,1.02,0
164,1,0.74,2
164,2,0.7,1
164,3,0.78,1
164,4,10.4,1
164,5,1.14,0
164,6,1.04,0
164,7,1.02,0
165,1,0.74,0
165,2,0.7,1
165,3,0.78,0
165,4,10.0,0
165,5,1.14,0
165,6,1.06,0
165,7,1.02,0
166,1,0.74,2
166,2,0.7,1
166,3,0.78,0
166,4,10.2,1
166,5,1.14,0
166,6,1.06,0
166,7,1.02,0
167,1,0.74,1
167,2,0.7,4
167,3,0.78,3
167,4,10.2,1
167,5,1.14,0
167,6,1.08,0
167,7,1.02,0
168,1,0.76,2
168,2,0.72,2
168,3,0.78,0
168,4,11.2,3
168,5,1.14,0
168,6,1.1,0
168,7,1.02,0
169,1,0.76,2
169,2,0.72,1
169,3,0.78,1
169,4,9.4,1
169,5,1.16,0
169,6,1.12,0
169,7,1.04,0
170,1,0.78,1
170,2,0.74,2
170,3,0.8,2
170,4,9.6,0
170,5,1.16,0
170,6,1.12,0
170,7,1.06,0
171,1,0.78,1
171,2,0.74,1
171,3,0.8,2
171,4,10.6,2
171,5,1.16,0
171,6,1.12,0
171,7,1.06,0
172,1,0.78,1
172,2,0.74,0
172,3,0.8,0
172,4,10.0,1
172,5,1.18,0
172,6,1.12,0
172,7,1.08,0
173,1,0.78,3
173,2,0.74,0
173,3,0.8,0
173,4,9.8,2
173,5,1.18,0
173,6,1.14,0
173,7,1.08,0
174,1,0.78,0
174,2,0.74,3
174,3,0.8,1
174,4,8.6,0
174,5,1.2,0
174,6,1.16,0
174,7,1.08,0
175,1,0.78,0
175,2,0.74,1
175,3,0.8,1
175,4,9.4,1
175,5,1.2,0
175,6,1.16,0
175,7,1.08,0
176,1,0.78,0
176,2,0.74,1
176,3,0.8,4
